Ref,Val,Package,PosX,PosY,Rot,Side
"D4","LED","D_0805_2012Metric",97.685000,-73.225000,0.000000,top
"J3","BAT","JST-PH-2-SMT-RA",108.950000,-83.750000,0.000000,top
"SW1","BTN","SW_SPST_SKQG_WithoutStem",96.250000,-58.250000,180.000000,top
"SW2","RST","SW_SPST_SKQG_WithoutStem",96.250000,-52.250000,180.000000,top
"U1","MIC5219-3.3YM5","SOT-23-5_HandSoldering",106.200000,-72.200000,90.000000,top
"U2","ATtiny841-SSU","SOIC-14_3.9x8.7mm_P1.27mm",107.200000,-51.800000,90.000000,top
"U5","LTC4054ES5-4.2","SOT-23-5_HandSoldering",101.800000,-72.200000,90.000000,top
